Draw Date,Winning Numbers,Bonus #,Extra #,Jackpot,Outcome
13/02/04 00:00,16 29 32 36 41,7,9,"€10,143,000",Won
20/02/04 00:00,7 13 39 47 50,2,5,"€10,111,500",Roll
27/02/04 00:00,14 18 19 31 37,4,5,"€11,880,304",Roll
05/03/04 00:00,4 7 33 37 39,1,5,"€13,870,849",Won
12/03/04 00:00,15 24 28 44 47,4,5,"€10,171,500",Roll
19/03/04 00:00,33 36 37 42 45,4,9,"€11,696,661",Roll
26/03/04 00:00,3 4 10 23 43,2,4,"€13,451,480",Roll
02/04/04 00:00,4 12 24 27 36,2,9,"€15,183,435",Roll
09/04/04 00:00,1 4 10 19 23,2,8,"€16,752,145",Won
16/04/04 00:00,14 15 28 35 40,1,3,"€10,027,500",Roll
23/04/04 00:00,6 10 21 45 49,3,5,"€13,390,000",Roll
30/04/04 00:00,5 6 16 23 27,6,7,"€16,887,500",Roll
07/05/04 00:00,15 16 21 36 38,1,5,"€19,983,000",Roll
14/05/04 00:00,1 3 21 32 39,2,6,"€22,849,563",Won
21/05/04 00:00,15 29 37 39 49,4,9,"€6,712,000",Won
28/05/04 00:00,6 11 35 41 44,5,6,"€6,712,000",Roll
04/06/04 00:00,9 13 34 41 42,3,7,"€8,735,476",Won
11/06/04 00:00,2 7 8 10 47,1,7,"€6,580,000",Roll
18/06/04 00:00,2 23 28 40 43,2,6,"€8,140,055",Won
25/06/04 00:00,3 21 30 34 35,1,2,"€6,685,000",Roll
02/07/04 00:00,4 23 24 28 34,1,3,"€8,214,347",Roll
09/07/04 00:00,2 5 12 19 44,8,9,"€9,720,341",Roll
16/07/04 00:00,24 26 31 38 50,5,8,"€11,275,186",Roll
23/07/04 00:00,7 10 27 31 34,3,8,"€12,787,495",Roll
30/07/04 00:00,9 10 19 37 50,1,6,"€14,603,161",Roll
06/08/04 00:00,5 15 24 35 44,5,6,"€16,568,021",Won
13/08/04 00:00,20 27 41 43 50,5,8,"€6,740,000",Roll
20/08/04 00:00,6 9 10 27 35,6,8,"€8,372,421",Roll
27/08/04 00:00,1 11 22 28 44,1,9,"€9,880,576",Roll
03/09/04 00:00,8 12 14 15 34,6,7,"€11,745,718",Roll
10/09/04 00:00,5 25 33 36 38,2,5,"€13,705,824",Roll
17/09/04 00:00,15 18 29 39 41,5,8,"€15,652,287",Roll
24/09/04 00:00,21 26 27 44 48,1,7,"€17,853,153",Roll
01/10/04 00:00,12 20 21 45 48,5,6,"€20,656,084",Won
08/10/04 00:00,1 10 12 16 48,2,6,"€6,950,000",Roll
15/10/04 00:00,14 21 22 37 43,5,8,"€11,885,938",Roll
22/10/04 00:00,1 9 23 25 40,3,9,"€17,398,554",Won
29/10/04 00:00,1 8 32 35 38,4,9,"€6,967,000",Roll
05/11/04 00:00,6 19 25 42 49,1,7,"€12,066,841",Roll
12/11/04 00:00,4 11 12 13 32,3,9,"€17,364,782",Roll
19/11/04 00:00,1 18 29 34 37,2,6,"€23,523,322",Roll
26/11/04 00:00,1 4 24 34 36,6,8,"€30,738,943",Won
03/12/04 00:00,1 11 15 42 49,3,4,"€6,945,000",Roll
10/12/04 00:00,1 3 13 16 43,2,7,"€12,388,642",Roll
17/12/04 00:00,15 19 22 46 49,2,9,"€17,973,434",Won
24/12/04 00:00,3 4 27 29 37,5,6,"€7,037,000",Won
31/12/04 00:00,7 8 24 25 47,8,9,"€7,074,000",Roll
07/01/05 00:00,3 23 27 47 50,2,3,"€12,408,063",Roll
14/01/05 00:00,6 11 14 19 29,1,3,"€18,296,178",Won
21/01/05 00:00,10 12 14 24 26,5,8,"€6,970,000",Roll
28/01/05 00:00,7 21 26 43 45,5,7,"€12,275,202",Roll
04/02/05 00:00,1 8 11 30 40,7,8,"€17,823,072",Roll
11/02/05 00:00,11 13 25 32 50,4,7,"€23,978,705",Won
18/02/05 00:00,20 21 26 32 46,8,9,"€6,903,000",Won
